region,name,Pob25a64,Population aged 25 and older with bachelor's degree,Population aged 25 and older with graduate degree,Percentage of population aged 25 and older with bachelor's degree,Percentage of population aged 25 and older with graduate degree
Megalopolis,Valle De México,10968362,2234370,367951,0.203710454,0.033546577
Megalopolis,Puebla,1410450,292687,44738,0.207513205,0.031718955
Megalopolis,Toluca,1024422,167918,29587,0.163914871,0.028881652
Megalopolis,Cuernavaca,483001,84911,18459,0.175798808,0.038217312
Megalopolis,Pachuca,281292,64049,12250,0.227695775,0.043549052
Megalopolis,Tlaxcala,259673,52030,7326,0.200367385,0.028212406
Megalopolis,Cuautla,223435,26923,4361,0.120495894,0.019517981
Megalopolis,Tulancingo,121161,13686,1816,0.11295714,0.014988321
Megalopolis,Tula,111658,14310,1668,0.1281592,0.014938473
Megalopolis,Tianguistenco,78755,8028,995,0.101936385,0.012634118
Northeast,Monterrey,2249569,463779,82993,0.206163492,0.036892845
Northeast,La Laguna,611602,113541,17070,0.18564524,0.027910308
Northeast,Saltillo,440469,84425,17677,0.191670696,0.040132223
Northeast,Reynosa,372199,40942,9464,0.110000296,0.025427258
Northeast,Matamoros,249111,32434,6036,0.130198988,0.024230162
Northeast,Nuevo Laredo,187601,27290,3610,0.145468308,0.019242968
Northeast,Monclova,166725,27350,5783,0.164042585,0.03468586
Northeast,Piedras Negras,89509,9212,2501,0.102917025,0.027941324
Center-west,Guadalajara,2312418,481799,69528,0.208352902,0.030067228
Center-west,Morelia,437945,99183,18656,0.226473644,0.042598956
Center-west,Tepic,227209,54833,9019,0.24133287,0.03969473
Center-west,Colima,179884,41802,7873,0.232383091,0.043767094
Center-west,Puerto Vallarta,208115,35400,5193,0.170098263,0.02495255
Center-west,Manzanillo,91593,15092,2027,0.164772417,0.022130512
Center-west,Zamora,122178,12525,2378,0.102514364,0.019463406
Center-west,Ocotlán,65484,7468,1262,0.114043125,0.019271883
Center-west,Tecomán,69477,5620,488,0.080890079,0.007023907
Center-north,Querétaro,620932,139549,27819,0.224741195,0.044802007
Center-north,San Luis Potosí,546340,122654,18952,0.224501226,0.034689021
Center-north,León,822660,115892,22287,0.140874723,0.027091386
Center-north,Aguascalientes,486626,95284,17318,0.195805403,0.035587905
Center-north,Zacatecas,166697,45489,11069,0.272884335,0.066401915
Center-north,Irapuato,266552,39271,6026,0.147329602,0.022607221
Center-north,Celaya,298991,38838,8976,0.129896887,0.030020971
Center-north,San Juan del Río,128502,18544,2194,0.144309038,0.017073664
Center-north,Salamanca,133932,16162,3732,0.120673177,0.027864887
Center-north,Guanajuato,87258,14132,3700,0.161956497,0.042402989
Center-north,La Piedad,113982,9859,2025,0.086496113,0.017765963
Center-north,Lagos de Moreno,72116,7597,1495,0.105344168,0.02073049
Center-north,San Miguel de Allende,75300,7311,1505,0.097091633,0.01998672
Center-north,San Francisco del Rincón,87735,5354,1209,0.061024677,0.013780133
Center-north,Rioverde,60486,5309,906,0.087772377,0.014978673
Center-north,Moroleón,55083,4252,692,0.0771926,0.01256286
Center-north,Cortazar,45090,3188,573,0.070703038,0.012707917
Yucatán peninsula,Mérida,539749,118234,24840,0.219053671,0.046021391
Yucatán peninsula,Cancún,390170,67283,8237,0.172445344,0.02111131
Yucatán peninsula,Campeche,142366,32653,5798,0.229359538,0.040726016
Yucatán peninsula,Carmen,126249,25102,6428,0.198829298,0.050915255
Yucatán peninsula,Othón P. Blanco,111498,20377,3924,0.182756641,0.035193456
Yucatán peninsula,Solidaridad,108001,18624,1880,0.172442848,0.017407246
Yucatán peninsula,Tulum,15814,1685,192,0.106551157,0.012141141
Northwest,Tijuana,917057,133311,23718,0.145368281,0.025863169
Northwest,Mexicali,493867,88022,14933,0.178230171,0.030236886
Gulf-east,Villahermosa,418391,105285,14772,0.251642602,0.035306687
Gulf-east,Coatzacoalcos,190862,38359,4343,0.20097767,0.02275466
Gulf-east,Minatitlán,184538,30332,2245,0.164367231,0.012165516
Gulf-east,Cárdenas,118286,13442,1630,0.113639822,0.01378016
Gulf-east,Acayucan,58001,7054,858,0.121618593,0.014792848
National,Megalopolis,14962209,2958912,489151,0.197759034,0.032692432
National,Northeast,4366785,798973,145134,0.182965958,0.033235893
National,Center-west,3714303,753722,116424,0.202924209,0.031344777
National,Center-north,4068282,688685,130478,0.16928153,0.032072015
National,Yucatán peninsula,1433847,283958,51299,0.198039261,0.035777178
National,Northwest,1410924,221333,38651,0.156870958,0.027394105
National,Gulf-east,970078,194472,23848,0.200470478,0.02458359
